space_type,layer_id,layer_index,layer_name,normalization_stage,representation,concept,vector_type,count,vector_dimension,mean_norm,std_norm,min_norm,max_norm
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_eot,wolf,name,1,640,16.767671585083008,0.0,16.767671585083008,16.767671585083008
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_eot,rabbit,name,1,640,16.3331356048584,0.0,16.3331356048584,16.3331356048584
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_eot,deer,name,1,640,18.512733459472656,0.0,18.512733459472656,18.512733459472656
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_eot,horse,name,1,640,19.181495666503906,0.0,19.181495666503906,19.181495666503906
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_fixed,cat,name,1,640,15.092291831970215,0.0,15.092291831970215,15.092291831970215
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_fixed,dog,name,1,640,15.32262134552002,0.0,15.32262134552002,15.32262134552002
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_fixed,fox,name,1,640,15.506651878356934,0.0,15.506651878356934,15.506651878356934
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_fixed,bear,name,1,640,15.069191932678223,0.0,15.069191932678223,15.069191932678223
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_fixed,wolf,name,1,640,14.877346992492676,0.0,14.877346992492676,14.877346992492676
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_fixed,rabbit,name,1,640,14.784037590026855,0.0,14.784037590026855,14.784037590026855
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_fixed,deer,name,1,640,15.236963272094727,0.0,15.236963272094727,15.236963272094727
W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_fixed,horse,name,1,640,14.946556091308594,0.0,14.946556091308594,14.946556091308594
W0,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,cat,description,50,1280,31.13581085205078,1.1675597429275513,27.585243225097656,33.56170654296875
W0,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,dog,description,50,1280,31.414796829223633,0.9601966738700867,29.466211318969727,33.147708892822266
W0,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,fox,description,50,1280,30.996232986450195,1.1098039150238037,28.74582862854004,33.34249496459961
W0,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,bear,description,50,1280,30.71855926513672,1.1335737705230713,28.722808837890625,33.302608489990234
W0,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,wolf,description,50,1280,31.308244705200195,1.0382136106491089,29.5533390045166,33.09559631347656
W0,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,rabbit,description,50,1280,30.83127212524414,0.9730160236358643,28.500490188598633,33.16072463989258
W0,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,deer,description,50,1280,30.647798538208008,1.0983601808547974,28.78860092163086,32.99408721923828
W0,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,horse,description,50,1280,31.387910842895508,0.9417733550071716,29.3557071685791,33.918975830078125
W0,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,cat,description,50,1280,27.213581085205078,0.48365965485572815,26.03414535522461,28.453523635864258
W0,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,dog,description,50,1280,27.365739822387695,0.39562174677848816,26.304500579833984,28.453754425048828
W0,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,fox,description,50,1280,27.3147029876709,0.45471182465553284,26.337947845458984,28.347108840942383
W0,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,bear,description,50,1280,27.32671356201172,0.5547747015953064,26.05602264404297,28.2728271484375
W0,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,wolf,description,50,1280,27.158647537231445,0.5289531350135803,26.12391471862793,28.363689422607422
