layer_id,layer_index,full_module_name,matrix_type,condition,condition_label,prototype_concept,nearest_centroid_concept,own_centroid_rank,own_centroid_cosine_distance,nearest_other_centroid_cosine_distance,margin,within_cluster_typicality_percentile,rank1_own_centroid,cross_readout
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,horse,horse,1,0.15510680427007606,0.1699669322328854,0.014860127962809333,100.0,True,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,cat,cat,1,0.9087004560010505,0.9513687200808028,0.042668264079752216,100.0,True,True
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,dog,dog,1,0.8964805242080879,0.9172917251899648,0.020811200981876943,100.0,True,True
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,fox,fox,1,0.8518749023530225,0.8577159093022805,0.005841006949257932,100.0,True,True
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,bear,bear,1,0.7803655203451816,0.8062502596494837,0.02588473930430213,100.0,True,True
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,wolf,fox,2,0.7620724621241148,0.7451338910327696,-0.016938571091345223,100.0,False,True
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,rabbit,rabbit,1,0.8234286942592736,0.8258362555285432,0.0024075612692696646,100.0,True,True
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,deer,deer,1,0.8236304065970675,0.8542977284311623,0.030667321834094707,100.0,True,True
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,horse,horse,1,0.8509760333763585,0.8960680778764718,0.04509204450011328,100.0,True,True
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,cat,cat,1,0.4889449790547815,0.6256295975859234,0.1366846185311419,100.0,True,False
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,dog,dog,1,0.48087861638410545,0.6011611336865443,0.12028251730243888,100.0,True,False
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,fox,wolf,2,0.6337848422165375,0.6133678075304295,-0.020417034686108004,100.0,False,False
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,bear,wolf,2,0.715807303706649,0.674812849658493,-0.04099445404815605,100.0,False,False
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,wolf,wolf,1,0.5786826329156548,0.6843983309052697,0.10571569798961489,100.0,True,False
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,rabbit,rabbit,1,0.6375013764180141,0.6667651313524439,0.029263754934429786,100.0,True,False
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,deer,deer,1,0.4743592205568792,0.5962196073230037,0.12186038676612454,100.0,True,False
