layer_id,layer_index,full_module_name,matrix_type,condition,condition_label,prototype_concept,centroid_concept,cosine_distance,is_own_centroid,cross_readout
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,rabbit,fox,0.9601745371613142,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,rabbit,bear,0.9687209511065119,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,rabbit,wolf,0.9777487146525983,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,rabbit,rabbit,0.8829882457747699,True,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,rabbit,deer,0.9456675634411625,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,rabbit,horse,0.9436867963952339,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,deer,cat,1.0096304809927905,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,deer,dog,0.9940470392890725,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,deer,fox,0.9414629060294181,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,deer,bear,0.9360318471235403,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,deer,wolf,0.9404883589085565,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,deer,rabbit,0.9779584271699837,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,deer,deer,0.7748638502076166,True,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,deer,horse,0.9555756772065552,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,horse,cat,0.9795799137588062,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,horse,dog,0.9849821202947074,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,horse,fox,1.0244237566477643,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,horse,bear,1.0016316435919677,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,horse,wolf,0.9837096361006704,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,horse,rabbit,1.0201432057277589,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,horse,deer,0.9567217246397978,False,True
text_space_baseline,-1,text_space_baseline,text_space,oce_last_to_eot,OCE-last-token -> EOT-description centroid,horse,horse,0.7937422206008271,True,True
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,cat,cat,0.41387439872321874,True,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,cat,dog,0.46694007553368544,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,cat,fox,0.5016801181935301,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,cat,bear,0.5114203995291855,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,cat,wolf,0.5296167987883444,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,cat,rabbit,0.4997000472304004,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,cat,deer,0.511607999887329,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,cat,horse,0.4870716303940942,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,dog,cat,0.4523071305854004,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,dog,dog,0.42637099920071886,True,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,dog,fox,0.4995978500133309,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,dog,bear,0.4911729546521729,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,dog,wolf,0.49518597145363796,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,dog,rabbit,0.4891759467190986,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,dog,deer,0.49034181471992233,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,dog,horse,0.44688308033571544,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,fox,cat,0.4737164642469003,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,fox,dog,0.4732994119984357,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,fox,fox,0.4789160317068968,True,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,fox,bear,0.5001889715316902,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,fox,wolf,0.48358145265833063,False,False
